uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1672605939","01 Jan 2023, 20:45","소공녀 프로젝트","","","","BAD GIRLFRIEND!!",""
"1669171876","23 Nov 2022, 02:51","H1-KEY","6d9dc445-463c-4c98-a554-429afe985f2b","","","Athletic Girl","03f22f3d-4501-499a-8f94-5a70a07829d9"
"1667269622","01 Nov 2022, 02:27","John Newman","589ef702-7f3a-4a1c-8f2c-4727005cfc0e","","","Love Me Again",""
"1667269622","01 Nov 2022, 02:27","GoldLink","7cb6e306-a75b-48b4-be00-2c4aa6bbe3a8","","","Zulu Screams (feat. Maleek Berry & Bibi Bourelly)",""
"1667269621","01 Nov 2022, 02:27","JB SCOFIELD","1aeda4ac-abb1-4dab-9f50-23828cf56d5d","","","Stretch It","143a2bf2-1795-40a9-82e2-508d807b99be"
"1667269619","01 Nov 2022, 02:26","Bantu","91afb013-16ee-42a1-ba7d-9f365a76477b","","","Somebody",""
"1666359484","21 Oct 2022, 13:38","NMIXX","2d623e82-73e2-4179-9c44-e963980f2d58","","","DICE","5a35306c-e8a8-4eff-a52f-40bcd65f97cb"
"1663291588","16 Sep 2022, 01:26","TWICE","81b06580-9723-4160-bf0c-e295a3b7a40a","","","Gone","bd659ce7-6f4a-4224-95aa-cf509ddf8b3e"
"1663291585","16 Sep 2022, 01:26","ENHYPEN","95663592-1447-4579-90f7-c94733476667","","","Drunk-Dazed","f478cf78-88e8-4ed3-9e58-a7ec958743d7"
"1663291579","16 Sep 2022, 01:26","Purple Kiss","","","","Nerdy","bfb6781d-f93c-4702-ac14-ae60ed75fee1"
"1663291575","16 Sep 2022, 01:26","Purple Kiss","","","","Zombie","2b291490-a013-40f4-850d-3a88eab5398e"
"1662400215","05 Sep 2022, 17:50","NewJeans","49204a7a-ed85-407a-828f-6fd46f1d8126","","","Attention","699f315a-d8a3-46f1-b01c-4151a255605e"
"1660537728","15 Aug 2022, 04:28","Everglow","bd04c7b4-530c-4802-ae16-962d004a5093","","","Pirate","b513cfd5-0c33-4d5e-a09a-87a0da6bdcaa"
"1660537727","15 Aug 2022, 04:28","TWICE","81b06580-9723-4160-bf0c-e295a3b7a40a","","","LIKEY","0b922a81-bab1-456c-b42a-478c992db528"
"1660537726","15 Aug 2022, 04:28","NMIXX","2d623e82-73e2-4179-9c44-e963980f2d58","","","O.O","926bd3fd-cf27-4dc6-a323-4c6db911bdc9"
"1659727312","05 Aug 2022, 19:21","CLASS:y","d822cea3-5299-4c20-9973-0b122864da21","","","SHUT DOWN","ac68e0b2-a020-4dc1-a758-c161329a44be"
"1659727311","05 Aug 2022, 19:21","FAINIT","164ef4ef-7f00-4877-aa37-3132faf6f67b","","","KILLER",""
"1658196397","19 Jul 2022, 02:06","Dua Lipa","6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f","","","Blow Your Mind (Mwah)","5d1182ca-b7c3-4d73-9bde-72eb10113af9"
"1658196396","19 Jul 2022, 02:06","Dua Lipa","6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f","","","Dreams","b1a119a2-19cd-4721-bece-a9d16de84b1b"
"1658196396","19 Jul 2022, 02:06","Dua Lipa","6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f","","","If It Ain’t Me",""
"1658196395","19 Jul 2022, 02:06","Calvin Harris","","","","One Kiss (with Dua Lipa)",""
"1658196394","19 Jul 2022, 02:06","Dua Lipa","6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f","","","Levitating","957df7c5-9c3a-4dbc-b139-f339f2378986"
"1657481499","10 Jul 2022, 19:31","BLACKPINK","48646387-1664-4c9a-9139-9bfd091b823c","","","Lovesick Girls","8871ee44-a723-47cd-b51f-0cb6bb7eee86"
"1657481489","10 Jul 2022, 19:31","Everglow","bd04c7b4-530c-4802-ae16-962d004a5093","","","LA DI DA","30f014df-1d0f-49b3-b651-c8145b701765"
"1656439910","28 Jun 2022, 18:11","Dua Lipa","6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f","","","Hotter Than Hell","5531ba1f-894a-4587-bfc9-8d2b926d3ce2"
"1656439904","28 Jun 2022, 18:11","Dua Lipa","6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f","","","Love Again","c9e42a6d-b668-4c41-b786-ffb5e12d0f06"
"1656439902","28 Jun 2022, 18:11","Silk City","","","","Electricity (with Dua Lipa)",""
"1656439900","28 Jun 2022, 18:11","Dua Lipa","6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f","","","Physical","19ddd84f-0353-4d6e-99a1-f00c0aa22cd1"
"1656439892","28 Jun 2022, 18:11","MAMAMOO","fb588f59-af1a-493a-9508-ed487caa2a11","","","Starry Night","711170e0-d188-4711-abd8-d152170deb59"
"1656439884","28 Jun 2022, 18:11","Dua Lipa","6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f","","","Hallucinate","4baf079d-e800-4686-af5e-2b80dd1bd80d"
"1656439872","28 Jun 2022, 18:11","TWICE","81b06580-9723-4160-bf0c-e295a3b7a40a","","","I CAN'T STOP ME","01b395c4-709d-403d-bb74-5839dbf8b1bc"
"1656439852","28 Jun 2022, 18:10","Glass Animals","20395131-fbde-43ce-b141-b700cfdae99c","","","Heat Waves",""
"1656439848","28 Jun 2022, 18:10","Solar","","","","SPIT IT OUT","2355d927-b4c6-4151-9b41-60ac5dffcf76"
"1656439843","28 Jun 2022, 18:10","MAMAMOO","fb588f59-af1a-493a-9508-ed487caa2a11","","","HIP","1c7d1e24-9d88-4de9-bc07-af617b6cc758"
"1656439838","28 Jun 2022, 18:10","TWICE","81b06580-9723-4160-bf0c-e295a3b7a40a","","","FANCY","06a84550-773f-4ae9-b2ac-19442c7cb2b2"
"1656439837","28 Jun 2022, 18:10","MAMAMOO","fb588f59-af1a-493a-9508-ed487caa2a11","","","Dingga","342cf8db-8995-4416-ac8f-49f513329606"
